Aarakocra
Aasimar (Mystic)
Dragonborn (Gem)
Dragonborn (Radiant)
Elf (Pallid)
Halfling (Jinx)
Kalashtar
Kenku
Kenku (Harrowfeather)
Kenku (Shroudeye)
Lineage (Dhampir)
Lineage (Disembodied)
Lineage (Hexblood)
Lineage (Reborn)
Lupin (Fabled)
Lupin (Isolated)
Lupin (Leader)
Lupin (Pack)
Lustrous (Ore)
Lustrous (Precious)
Lustrous (Semi-Precious)
Macawkra
Nymph (Alseid)
Nymph (Asteria)
Nymph (Aurae)
Nymph (Dryad)
Nymph (Lampad)
Nymph (Naiad)
Nymph (Oread)
Owlin
Rakin (Posskin)
Rakin (Tanukin)
Rakin (Urkin)
Ratfolk (Packrat)
Ratfolk (Ratical)
Ratfolk (Scourgerat)
Tengu
Tiefling (Amethyst Bloodline)
Tiefling (Gold Bloodline)
Warforged
